

,,,,2e DEGRÉ
LSW,latin sciences 5h,,,
LW,latin,,,
MSW,sciences 5h,,,
MW,moderne,,,
ECW,sciences économiques,,,
SOW,sciences sociales,,,
,,,,
LAI,latin,imm anglaise,,
MSAI,sciences 5h,imm anglaise,,
MAI,moderne,imm anglaise,,
ECAI,sciences économiques,imm anglaise,,
SOAI,sciences sociales,imm anglaise,,
,,,,
LDI,latin,imm allemande,,
MSDI,sciences 5h,imm allemande,,
MNDI,moderne,imm allemande,,
ECDI,sciences économiques,imm allemande,,
SODI,sciences sociales,imm allemande,,
,,,,
LNI,latin,imm néerlandaise,,
MSNI,sciences 5h,imm néerlandaise,,
MNI,moderne,imm néerlandaise,,
ECNI,sciences économiques,imm néerlandaise,,
SONI,sciences sociales,imm néerlandaise,,
,,,,
LA6W,latin math 6 sciences 6,,,3e DEGRÉ
MA6W,math 6 sciences 6,,,
LC6W,latin math 6,,,
MC6W,math 6,,,
LB4W,latin sciences 6,,,
MB4W,sciences 6,,,
LG4W,latin grec,,,
LH4W,latin histoire,,,
LH6W,latin histoire math 6,,,
MH4W,histoire,,,
MH6W,histoire math 6,,,
ME4W,commu écrite et orale,,,
LL4W,latin lm3,,,
ML4W,lm3,,,
ML6W,lm3 math 6,,,
EC4W,sciences éco,,,
EC6W,sciences éco math 6,,,
SO4W,sciences soc,,,
,,,,
LA6A,latin math 6 sciences 6,imm anglaise,,
MA6A,math 6 sciences 6,imm anglaise,,
LC6A,latin math 6,imm anglaise,,
MC6A,math 6,imm anglaise,,
LB4A,latin sciences 6,imm anglaise,,
MB4A,sciences 6,imm anglaise,,
LG4A,latin grec,imm anglaise,,
LH4A,latin histoire,imm anglaise,,
LH6A,latin histoire math 6,imm anglaise,,
MH4A,histoire,imm anglaise,,
MH6A,histoire math 6,imm anglaise,,
ME4A,commu écrite et orale,imm anglaise,,
LL4A,latin lm3,imm anglaise,,
ML4A,lm3,imm anglaise,,
ML6A,lm3 math 6,imm anglaise,,
EC4A,sciences éco,imm anglaise,,
EC6A,sciences éco math 6,imm anglaise,,
SO4A,sciences soc,imm anglaise,,
,,,,
LA6N,latin math 6 sciences 6,imm néerlandaise,,
MA6N,math 6 sciences 6,imm néerlandaise,,
LC6N,latin math 6,imm néerlandaise,,
MC6N,math 6,imm néerlandaise,,
LB4N,latin sciences 6,imm néerlandaise,,
MB4N,sciences 6,imm néerlandaise,,
LG4N,latin grec,imm néerlandaise,,
LH4N,latin histoire,imm néerlandaise,,
LH6N,latin histoire math 6,imm néerlandaise,,
MH4N,histoire,imm néerlandaise,,
MH6N,histoire math 6,imm néerlandaise,,
ME4N,commu écrite et orale,imm néerlandaise,,
LL4N,latin lm3,imm néerlandaise,,
ML4N,lm3,imm néerlandaise,,
ML6N,lm3 math 6,imm néerlandaise,,
EC4N,sciences éco,imm néerlandaise,,
EC6N,sciences éco math 6,imm néerlandaise,,
SO4N,sciences soc,imm néerlandaise,,
