,,601 BRACONNIER ,602 SACRE,603 ZOES,605 RUESS,606 BROUNS,607 HOLLENFELTZ
,,?,?,?,?,?,?
,,TBI,TBI + TBN,TBI,TBN + TV,TBI + TBN + TBB,TBN + TV
,,24-29,24-30,24-29,10,18-24,20+
Lundi,1,REM 2e,,REM 2e,3+4 - LM1 - DI,5 - LM2 - N2,
,2,2 - N,,3PAZ,,,5+6 - LM3 - D
,3,,,,,,5+6 - LM3 - D
,4,3 - LM1 - N,5 - LM1 - AI,3 - LM1 - A3,,Ruess - 4PAT,
,5,3 - LM1 - N,5 - LM1 - AI,3 - LM1 - A3,,,
,6,,,,,,
,7,,,,,5 - LM2 - N2,
,8,,,,,6 - LM2 - N2,5+6 - LM2 - D
,9,,,REM 2e,,6 - LM2 - N2,5+6 - LM2 - D
,10,,,,,6 - LM2 - N1,
Mardi,1,3 - LM2 - N1,4 - LM1 - AI,3 - LM1 - A6,,4PAU,
,2,,4 - LM1 - AI,3 - LM1 - A6,,6 - LM2 - N1,
,3,,5 - LM1 - AI,3PAZ,,6 - LM2 - N1,
,4,1 - N,6 - LM1 - AI,,5+6 - LM1 - DI,,
,5,,6 - LM1 - AI,,5+6 - LM1 - DI,,
,6,,,,,,
,7,,,,,Ruess - 3 - LM1 - AI1,
,8,3 - LM2 - N1,,,3+4 - LM1 - DI,,
,9,2 - N,6 - LM1 - AI,,,,
,10,,6 - LM1 - AI,,,,
Mercredi,1,2 - N,,Ruess - 3 - LM1 - AI1,,5 - LM2 - N2,
,2,REM,5 - LM1 - AI,,,4PAU,
,3,Ruess - 4PAT,6 - LM1 - AI,3PAZ,,4PAU,
,4,,6 - LM1 - AI,CdlC 2PAG,,,
,5,,CdlC 4PAW,CdlC 2PAG,,CdlC 5PAY,
Jeudi,1,1 - N,Reckmans - 5 - LM2 - E2,2 - A2,1+2 - DI,5 - LM2 - N2,
,2,3 - LM2 - N2,Reckmans - 5 - LM2 - E4,3 - LM2 - A,1+2 - DI,4 - LM2 - N2,3+4 - LM2 - D
,3,3 - LM2 - N2,Reckmans - 5 - LM2 - E4,3 - LM2 - A,,4 - LM2 - N2,3+4 - LM2 - D
,4,3 - LM1 - N,5 - LM1 - AI,3 - LM1 - A3,,Ruess - 3 - LM1 - AI2,
,5,2 - N,Reckmans - 5 - LM2 - E1,2 - A2,,,
,6,,,,,,
,7,,,2 - A2,1+2 - DI,6 - LM2 - N2,5+6 - LM2 - D
,8,3 - LM1 - N,5 - LM1 - AI,3 - LM1 - A3,,4PAU,
,9,,,,,6 - LM2 - N2,5+6 - LM2 - D
,10,,,,3+4 - LM1 - DI,6 - LM2 - N1,
Vendredi,1,1 - N,6 - LM1 - AI,,1+2 - DI,,
,2,1 - N,6 - LM1 - AI,,1+2 - DI,,
,3,,4 - LM1 - AI,3 - LM1 - A6,,Ruess - 3 - LM1 - AI2,
,4,3 - LM2 - N1,4 - LM1 - AI,3 - LM1 - A6,,Ruess - 3 - LM1 - AI2,5+6 - LM3 - D
,5,3 - LM2 - N1,,3PAZ,3+4 - LM1 - DI,,5+6 - LM3 - D
,6,,,,,,
,7,,,2 - A2,,,
,8,3 - LM2 - N2,,3 - LM2 - A,,4 - LM2 - N2,3+4 - LM2 - D
,9,3 - LM2 - N2,5 - LM1 - AI,3 - LM2 - A,,4 - LM2 - N2,3+4 - LM2 - D
,10,,5 - LM1 - AI,,,,
