,3 - SC1,3PAT,EC,,4 - HG4,4PAX,N,,5 - H1,5PAT,,,6 - Sc3,6PAU,
,,,L,,,4PAZ,A,,,,,,,6PAV,LH4
,,3PAU,EC,,,,,,5 - H2,5PAV,,,,,MH4
,,3PAW,EC,,4 - HG5,4PAV,A,,,,,,,,
,,,,,,4PAW,N,,5 - H3,5PAX,,,6 - Sc4,6PAW,
,3 - SC2,3PAS,SO,,,4PAY,A,,,5PAW,EC4,,,6PAV,ME4
,,3PAT,SO,,,,,,,,,,,,ML4
,,3PAU,SO,,4 - HG6,4PAV,N,,5 - H4,5PAU,,,,,EC4
,,3PAW,SO,,,4PAW,A,,,5PAW,LH4,,,,SO4
,,,,,,4PAX,A,,,,ML4,,,,
,3 - SC3,3PAX,EC,,,4PAY,N,,,,,,,,
,,3PAY,EC,,,4PAZ,N,,5 - H5,5PAY,,,,,
,,,,,,,,,,5PAW,MB4,,6 - CPC2,6PAU,
,3 - SC4,3PAX,SO,,Remarque : groupes histoire non immersion !,,,,,,,,,6PAW,MB4
,,3PAY,SO,,,,,,5 - H6,5PAZ,,,,6PAY,MA6
,,,,,,,,,,5PAW,ME4,,,,MB4
,,,,,,,,,,,,,,,
,,,,,4 - SC1,4PAT,EC,,Remarque : groupes histoire non immersion !,,,,6 - CPC3,6PAV,
,,,,,,,M,,,,,,,6PAW,ME4
,,,,,,,SO,,,,,,,,MH4
,,,,,,,,,5 - LM1 - A1,5PAT,,,,,ML4
,,,,,4 - SC2,4PAY,EC,,,,,,,,
,,,,,,4PAZ,SO,,5 - LM1 - A2,5PAU,,,6 - CPC4,6PAZ,
,,,,,,,,,,5PAZ,EC6,,,6PAY,EC4
,,,,,4 - SC3,4PAU,EC,,,,MA6,,,,ME4
,,,,,,,SO,,,,ML6,,,,ML4
,,,,,,,M,,,,,,,,ML6
,,,,,,4PAV,EC,,5 - LM1 - A3,5PAV,,,,,
,,,,,,,SO,,,5PAW,MB4,,,,
,,,,,,,L,,,,,,,,
,,,,,,4PAY,M,,5 - LM1 - A4,5PAX,,,,,
,,,,,,,,,,5PAW,LH4,,,,
,,,,,4 - SC4,4PAW,EC,,,,ME4,,,,
,,,,,,,SO,,,5PAZ,MB4,,,,
,,,,,,,M,,,,ME4,,,,
,,,,,,4PAZ,M,,,,ML4,,,,
,,,,,,,,,,,,,,,
,,,,,4 - ScOp3,4PAU,MS,,5 - LM1 - A5,5PAY,,,,,
,,,,,,4PAV,LS,,,5PAW,EC4,,,,
,,,,,,,MS,,,,ML4,,,,
,,,,,,4PAW,MS,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,5 - Sc3,5PAT,EC4,,,,
,,,,,,,,,,,ME4,,,,
,,,,,,,,,,,ML4,,,,
,,,,,,,,,,,ML6,,,,
,,,,,,,,,,5PAZ,ML4,,,,
,,,,,,,,,,,ML6,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,5 - Sc4,5PAT,SO,,,,
,,,,,,,,,,5PAU,,,,,
,,,,,,,,,,5PAZ,ME4,,,,
,,,,,,,,,,,EC4,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,5 - Sc5,5PAW,,,,,
,,,,,,,,,,5PAZ,EC6,,,,
