id,cours_id,jour,periode_index,heure_debut,heure_fin,salle
1,1,lundi,1,08:15,09:05,105
2,2,lundi,1,08:15,09:05,
3,3,lundi,1,08:15,09:05,
4,4,lundi,1,08:15,09:05,
5,5,lundi,1,08:15,09:05,
6,6,lundi,1,08:15,09:05,205
7,7,lundi,1,08:15,09:05,112
8,8,lundi,1,08:15,09:05,
9,9,lundi,1,08:15,09:05,403
10,10,lundi,1,08:15,09:05,
11,11,lundi,1,08:15,09:05,108
12,12,lundi,1,08:15,09:05,109
13,13,lundi,1,08:15,09:05,213
14,14,lundi,1,08:15,09:05,102
15,15,lundi,1,08:15,09:05,
16,16,lundi,1,08:15,09:05,
17,17,lundi,1,08:15,09:05,214
18,18,lundi,1,08:15,09:05,
19,19,lundi,1,08:15,09:05,
20,20,lundi,1,08:15,09:05,<Gym>
21,20,lundi,2,09:05,09:55,<Gym>
22,21,lundi,1,08:15,09:05,<Gym>
23,21,lundi,2,09:05,09:55,<Gym>
24,22,lundi,1,08:15,09:05,
25,23,lundi,1,08:15,09:05,
26,24,lundi,1,08:15,09:05,
27,25,lundi,1,08:15,09:05,
28,26,lundi,1,08:15,09:05,
29,27,lundi,1,08:15,09:05,
30,28,lundi,1,08:15,09:05,
31,29,lundi,1,08:15,09:05,
32,30,lundi,2,09:05,09:55,105
33,31,lundi,2,09:05,09:55,
34,32,lundi,2,09:05,09:55,204
35,33,lundi,2,09:05,09:55,203
36,5,lundi,2,09:05,09:55,
37,34,lundi,2,09:05,09:55,205
38,35,lundi,2,09:05,09:55,201
39,36,lundi,2,09:05,09:55,312
40,37,lundi,2,09:05,09:55,
41,38,lundi,2,09:05,09:55,
42,39,lundi,2,09:05,09:55,403
43,40,lundi,2,09:05,09:55,108
44,41,lundi,2,09:05,09:55,109
45,42,lundi,2,09:05,09:55,104
46,43,lundi,2,09:05,09:55,
47,44,lundi,2,09:05,09:55,
48,45,lundi,2,09:05,09:55,102
49,46,lundi,2,09:05,09:55,
50,47,lundi,2,09:05,09:55,603
51,48,lundi,2,09:05,09:55,
52,49,lundi,2,09:05,09:55,
53,50,lundi,2,09:05,09:55,<Gym>
54,50,lundi,3,09:55,10:45,<Gym>
55,51,lundi,2,09:05,09:55,<Gym>
56,51,lundi,3,09:55,10:45,<Gym>
57,52,lundi,2,09:05,09:55,
58,53,lundi,2,09:05,09:55,
59,53,lundi,3,09:55,10:45,
60,54,lundi,2,09:05,09:55,
61,54,lundi,3,09:55,10:45,
62,55,lundi,2,09:05,09:55,
63,55,lundi,3,09:55,10:45,
64,56,lundi,2,09:05,09:55,
65,56,lundi,3,09:55,10:45,
66,57,lundi,2,09:05,09:55,
