pattern,groupe_code,classe,option,LM1,LM2,LM3
[3+4 - LM1 - NI]<3PAV> <LM1> NI+ [3+4 - LM1 - NI]<3PAW> <LM1> NI+ [3+4 - LM1 - NI]<4PAV> <LM1> NI+ [,3+4 - LM1 - NI,3PAV,,,,
[3+4 - LM1 - NI]<3PAV> <LM1> NI+ [3+4 - LM1 - NI]<3PAW> <LM1> NI+ [3+4 - LM1 - NI]<4PAV> <LM1> NI+ [,3+4 - LM1 - NI,3PAW,,,,
[3+4 - LM1 - NI]<3PAV> <LM1> NI+ [3+4 - LM1 - NI]<3PAW> <LM1> NI+ [3+4 - LM1 - NI]<4PAV> <LM1> NI+ [,3+4 - LM1 - NI,4PAV,,,,
[3+4 - LM1 - NI]<3PAV> <LM1> NI+ [3+4 - LM1 - NI]<3PAW> <LM1> NI+ [3+4 - LM1 - NI]<4PAV> <LM1> NI+ [,3+4 - LM1 - NI,4PAW,,,,
[3+4 - LM1 - DI]<3PAY> <LM1> DI+ [3+4 - LM1 - DI]<3PAV> <LM1> DI+ [3+4 - LM1 - DI]<4PAV> <LM1> DI,3+4 - LM1 - DI,3PAY,,,,
[3+4 - LM1 - DI]<3PAY> <LM1> DI+ [3+4 - LM1 - DI]<3PAV> <LM1> DI+ [3+4 - LM1 - DI]<4PAV> <LM1> DI,3+4 - LM1 - DI,3PAV,,,,
[3+4 - LM1 - DI]<3PAY> <LM1> DI+ [3+4 - LM1 - DI]<3PAV> <LM1> DI+ [3+4 - LM1 - DI]<4PAV> <LM1> DI,3+4 - LM1 - DI,4PAV,,,,
[6 - M4h4]<6PAW> <Option+LM1+LM2(+LM3)> MB4-A-E+ [6 - M4h4]<6PAW> <Option+LM1+LM2(+LM3)> MB4-NI-A+ [,6 - M4h4,6PAW,,,,
[6 - M4h4]<6PAW> <Option+LM1+LM2(+LM3)> MB4-A-E+ [6 - M4h4]<6PAW> <Option+LM1+LM2(+LM3)> MB4-NI-A+ [,6 - M4h4,6PAW,,,,
[6 - M4h4]<6PAW> <Option+LM1+LM2(+LM3)> MB4-A-E+ [6 - M4h4]<6PAW> <Option+LM1+LM2(+LM3)> MB4-NI-A+ [,6 - M4h4,6PAW,,,,
[6 - M4h4]<6PAW> <Option+LM1+LM2(+LM3)> MB4-A-E+ [6 - M4h4]<6PAW> <Option+LM1+LM2(+LM3)> MB4-NI-A+ [,6 - M4h4,6PAW,,,,
[6 - M4h4]<6PAW> <Option+LM1+LM2(+LM3)> MB4-A-E+ [6 - M4h4]<6PAW> <Option+LM1+LM2(+LM3)> MB4-NI-A+ [,6 - M4h4,6PAW,,,,
[6 - M4h4]<6PAW> <Option+LM1+LM2(+LM3)> MB4-A-E+ [6 - M4h4]<6PAW> <Option+LM1+LM2(+LM3)> MB4-NI-A+ [,6 - M4h4,6PAW,,,,
[6 - M4h4]<6PAW> <Option+LM1+LM2(+LM3)> MB4-A-E+ [6 - M4h4]<6PAW> <Option+LM1+LM2(+LM3)> MB4-NI-A+ [,6 - M4h4,6PAW,,,,
