id,matricule,groupe_code
1,1,4 - HG6
2,1,4 - EPG3
3,1,4 - EC2
4,1,4 - Sc4
5,1,4 - LM2 - I
6,1,4 - LM1 - A5
7,1,4 - RC
51,10,3 - EPF1
52,10,3 - HG6
53,10,3 - SO2
54,10,4 - RP
55,10,3 - LM2 - E4
56,10,3 - SC4
57,10,3 - LM1 - A6
58,10,3
579,100,5 - Hop
580,100,5 - LM1 - A5
581,100,5 - CPC6
582,100,5 - M4h6
583,100,5 - H5
584,100,5 - LM2 - N2
585,100,5 - EPG3
586,100,5 - Sc2
587,101,4 - HG6
588,101,4 - ScOp3
589,101,4 - CPC4
590,101,4 - LM2 - I
591,101,4 - LM1 - A5
592,101,4 - EPF3
593,102,4 - Sc3
594,102,4 - EPG4
595,102,4 - LM2 - I
596,102,4 - CPC5
597,102,4 - HG5
598,102,4 - LM1 - A5
599,103,6 - LM1 - A4
600,103,6 - ScOp1
601,103,6 - Phy
602,103,6 - CPC4
603,103,1
604,103,6 - M
605,103,6 - LM2 - E2
606,103,6 - EPG3
607,103,6 - M6h2
608,103,6 - H5
609,104,5
610,104,5 - EPF4
611,104,5 - Sc3
612,104,6 - LM3 - E
613,104,5 - CPC4
614,104,5 - LM2 - A1
615,104,5 - M4h1
616,104,6 - LM1 - NI
617,105,1 - EPG2.
618,105,1 - CPC2
619,105,1 - AI
620,106,4 - HG6
621,106,4 - CPC4
622,106,4 - Sc4
623,106,4 - LM2 - I
624,106,4 - LM1 - A5
625,106,4 - EPF3
626,107,3 - HG5
627,107,3 - LM1 - A5
628,107,3 - SO1
629,107,3 - SC2
630,107,3 - EPF3
631,107,3 - CPC1
632,107,3 - LM2 - I
633,108,5 - EPF1
634,108,5
635,108,5 - LM1 - N
636,108,5 - Sc3
637,108,5 - LM2 - A2
638,108,5 - CPC7
639,108,6 - LM3 - E
640,108,5 - H6
641,108,5 - M4h3
642,109,4 - ScOp1
643,109,4 - EPG1
644,109,4 - CPC2
59,11,2 - HGS1
60,11,2 - EPF1
61,11,2 - A1
62,11,2 - RI
645,110,2 - HGS1
646,110,2 - RI
647,110,2 - A1
648,110,2 - EPG1
649,111,4 - M1
650,111,4 - ScOp3
651,111,4 - LM2 - I
652,111,4 - LM1 - NI
653,111,4 - EPG1
654,111,3
655,112,3 - ScOp3
656,112,3 - M
657,112,4 - LM1 - NI
658,112,3 - EPG4
659,112,3 - LM2 - A
660,112,3
661,113,3 - HG5
662,113,3 - LM1 - A5
663,113,3 - EPF3
664,113,3 - LM2 - E4
665,113,3 - CPC1
666,113,3 - ScOp1
667,114,2 - HGS2
668,114,2 - EPF2
669,114,2 - A2
670,114,2 - CPC3
671,115,5 - LM1 - A3
672,115,5 - CPC1
673,115,5 - LM2 - E1
