id,groupe_code,classe,option,LM1,LM2,LM3
1,3+4 - LM1 - NI,3PAV,,,,
2,3+4 - LM1 - NI,3PAW,,,,
3,3+4 - LM1 - NI,4PAV,,,,
4,3+4 - LM1 - NI,4PAW,,,,
5,3+4 - LM1 - DI,3PAY,,,,
6,3+4 - LM1 - DI,3PAV,,,,
7,3+4 - LM1 - DI,4PAV,,,,
8,6 - M4h4,6PAW,,,,
9,6 - LM2 - E1,6PAX,,,,
10,6 - ScOp1,6PAY,,,,
11,6 - ScOp1,6PAZ,,,,
12,4 - ScOp1,4PAS,,,,
13,4 - EPF2,4PAU,,,,
14,4 - EPF2,4PAZ,,,,
15,4 - EPG2,4PAU,,,,
16,4 - EPG2,4PAZ,,,,
17,3 - LM1 - AI2,3PAV,,,,
18,3 - LM1 - AI2,3PAW,,,,
19,3 - LM1 - AI2,3PAY,,,,
20,3 - HG5,3PAV,,,,
21,3 - HG5,3PAW,,,,
22,5 - LM2 - A1,5PAT,,,,
23,5 - LM2 - A1,5PAW,,,,
24,5 - LM2 - A2,5PAX,,,,
25,5 - LM2 - A2,5PAY,,,,
26,5 - LM2 - A2,5PAZ,,,,
27,5 - LM2 - N2,5PAX,,,,
28,5 - LM2 - N2,5PAY,,,,
29,5 - LM2 - N2,5PAZ,,,,
30,5 - LM2 - N2,5PAT,,,,
31,5 - LM2 - E2,5PAT,,,,
32,5 - LM2 - E3,5PAW,,,,
33,5 - LM2 - E3,5PAX,,,,
34,5 - LM2 - E4,5PAY,,,,
35,5 - LM2 - E4,5PAZ,,,,
36,3 - EC2,3PAX,,,,
37,3 - EC2,3PAY,,,,
38,3 - EPG23,3PAS,,,,
39,3 - EPG23,3PAT,,,,
40,3 - EPG23,3PAU,,,,
41,3 - EPG23,3PAW,,,,
42,3 - EPF3,3PAU,,,,
43,3 - EPF3,3PAW,,,,
44,3 - SC4,3PAX,,,,
45,3 - SC4,3PAY,,,,
46,5 - Commu2,5PAT,,,,
47,5 - Commu2,5PAW,,,,
48,5 - Commu2,5PAZ,,,,
49,5 - EC,5PAT,,,,
50,5 - EC,5PAU,,,,
51,5 - EC,5PAW,,,,
52,5 - EC,5PAZ,,,,
53,6 - M+,6PAZ,,,,
54,5+6 - LM3 - D,5PAT,,,,
55,5+6 - LM3 - D,5PAW,,,,
56,5+6 - LM3 - D,5PAZ,,,,
57,5+6 - LM3 - D,6PAW,,,,
58,5+6 - LM3 - D,6PAY,,,,
